instance,method,run,utility,cpu_time
MC-CSSP-M,QIDDM-noWarm,15,0.6401626119898184,3.4133244000004197
MC-CSSP-M,QIDDM-noWarm,16,0.6473066106585024,3.5362729000007675
MC-CSSP-M,QIDDM-noWarm,17,0.6494643478859783,3.6099463000009564
MC-CSSP-M,QIDDM-noWarm,18,0.6484548265058726,3.529990999999427
MC-CSSP-M,QIDDM-noWarm,19,0.6484548265058726,3.5513422999993054
MC-CSSP-L,QIDDM-full,0,0.6791362729809921,3.6426226000003226
MC-CSSP-L,QIDDM-full,1,0.6796487188900896,3.801896900000429
MC-CSSP-L,QIDDM-full,2,0.6779425442089453,3.6533988999999565
MC-CSSP-L,QIDDM-full,3,0.6785975127564005,3.6674844000008306
MC-CSSP-L,QIDDM-full,4,0.6779425442089453,3.644679000000906
MC-CSSP-L,QIDDM-full,5,0.6796487188900896,3.748502299999018
MC-CSSP-L,QIDDM-full,6,0.6779425442089453,3.526397800000268
MC-CSSP-L,QIDDM-full,7,0.6779425442089453,3.6312570000009146
MC-CSSP-L,QIDDM-full,8,0.6782526842371561,3.689911799998299
MC-CSSP-L,QIDDM-full,9,0.6854341828431024,3.7183537000000797
MC-CSSP-L,QIDDM-full,10,0.6800534502356967,3.675469300000259
MC-CSSP-L,QIDDM-full,11,0.6796487188900896,3.695923200000834
MC-CSSP-L,QIDDM-full,12,0.6782526842371561,3.564907200001471
MC-CSSP-L,QIDDM-full,13,0.6828844190938852,3.7725832000014634
MC-CSSP-L,QIDDM-full,14,0.6779425442089453,3.6558287000007113
MC-CSSP-L,QIDDM-full,15,0.6800534502356967,3.61294369999996
MC-CSSP-L,QIDDM-full,16,0.6779425442089453,3.6002968000011606
MC-CSSP-L,QIDDM-full,17,0.6779425442089453,3.6431377999997494
MC-CSSP-L,QIDDM-full,18,0.6796487188900896,3.572414400001435
MC-CSSP-L,QIDDM-full,19,0.6779425442089453,3.678727999998955
MC-CSSP-L,QIDDM-noDyn,0,0.6791362729809921,3.6799412999989727
MC-CSSP-L,QIDDM-noDyn,1,0.6796487188900896,3.6475974999993923
MC-CSSP-L,QIDDM-noDyn,2,0.6779425442089453,3.6472039000000223
MC-CSSP-L,QIDDM-noDyn,3,0.675640381534595,3.599975600000107
MC-CSSP-L,QIDDM-noDyn,4,0.6779425442089453,3.612204600000041
MC-CSSP-L,QIDDM-noDyn,5,0.6796487188900896,3.587227100000746
MC-CSSP-L,QIDDM-noDyn,6,0.6779425442089453,3.6077228000012838
MC-CSSP-L,QIDDM-noDyn,7,0.6779425442089453,3.5913209000009374
MC-CSSP-L,QIDDM-noDyn,8,0.6796487188900896,3.672814699999435
MC-CSSP-L,QIDDM-noDyn,9,0.6796487188900896,3.7555018000002747
MC-CSSP-L,QIDDM-noDyn,10,0.6800534502356967,3.6303921999988233
MC-CSSP-L,QIDDM-noDyn,11,0.6846076036139408,3.601461299998846
MC-CSSP-L,QIDDM-noDyn,12,0.6782526842371561,3.6029207999999926
MC-CSSP-L,QIDDM-noDyn,13,0.6924558761489964,3.6720523000003595
MC-CSSP-L,QIDDM-noDyn,14,0.6779425442089453,3.5464424999991024
MC-CSSP-L,QIDDM-noDyn,15,0.6771502468161145,3.570310099999915
MC-CSSP-L,QIDDM-noDyn,16,0.6779425442089453,3.5042180999989796
MC-CSSP-L,QIDDM-noDyn,17,0.6779425442089453,3.5291331999997055
