instance,method,run,utility,cpu_time,iterations_to_best,cost,quality,lead_time,reliability,capacity_slack
MC-CSSP-S,QEA,11,0.6481003218441783,1.8963989999992918,8,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QEA,12,0.6481003218441783,1.998264200000449,15,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QEA,13,0.6481003218441783,1.898983600000065,12,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QEA,14,0.6453454135700039,1.8581851999997525,23,78.10674034293449,84.78479941655905,21.309715630694424,0.8396293157237447,478.42954806303
MC-CSSP-S,QEA,15,0.6397303439424356,2.028831199999331,21,81.34244144953846,85.18813289583974,21.309715630694424,0.8509239873859524,501.28717519439317
MC-CSSP-S,QEA,16,0.6481003218441783,2.0871556000001874,14,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QEA,17,0.6498006075229267,2.354858599999716,8,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,QEA,18,0.6481003218441783,2.527531800000361,21,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QEA,19,0.6481003218441783,2.201816900000267,28,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QIDDM,0,0.6498006075229267,3.7820834999993167,87,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,QIDDM,1,0.6498006075229267,2.8327028999992763,1,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,QIDDM,2,0.6481003218441783,2.2918884999999136,0,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QIDDM,3,0.6498006075229267,2.706032099999902,7,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,QIDDM,4,0.6481003218441783,2.425133200000346,0,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QIDDM,5,0.6481003218441783,3.365012599999318,0,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QIDDM,6,0.6481003218441783,3.849773699999787,1,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QIDDM,7,0.6481003218441783,2.2754128999995373,0,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,QIDDM,8,0.6481003218441783,2.676837400000295,0,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
